z,eta_x_qs,eta_x_dyn
0.2715036546138618,-1.2469743253251098e-08,-1.3024803873820911e-08
0.2630481908711227,-1.2363136954092004e-08,-1.2912367716240957e-08
0.2546489272550252,-1.225789844168446e-08,-1.2801352228016496e-08
0.2463054556974173,-1.2153995381626753e-08,-1.2691683716911308e-08
0.2380174647094039,-1.2051407153045584e-08,-1.2583645683369557e-08
0.2297846916169021,-1.1950119153244887e-08,-1.2477064060981141e-08
0.2216066044449384,-1.1850086183402146e-08,-1.2372123917635322e-08
0.2134828403275321,-1.1751283059419508e-08,-1.2267865440603154e-08
0.2054131867157806,-1.1653702146920444e-08,-1.2165667808593733e-08
0.1973972058076517,-1.1557310404716864e-08,-1.2062397948764281e-08
0.189434470941293,-1.1462076529614249e-08,-1.1959191788014442e-08
0.1815246486003658,-1.1367980191659544e-08,-1.1865912803363631e-08
0.1736675608080728,-1.1275018903294645e-08,-1.1766191918313932e-08
0.1658626633969064,-1.1183149135429187e-08,-1.1669563737511337e-08
0.1581096100603127,-1.1092350073882351e-08,-1.1574147651297148e-08
0.1504081626550052,-1.1002613280926188e-08,-1.1479764010692789e-08
0.142757974165928,-1.0913918343316072e-08,-1.1386497926199972e-08
0.1351586018868504,-1.082623447182115e-08,-1.129433124966769e-08
0.1276097086285341,-1.0739542941722564e-08,-1.1203252248056704e-08
0.1201111468443383,-1.0653846243352196e-08,-1.1113182817206611e-08
0.1126624094763518,-1.0569107221250268e-08,-1.1024154749261125e-08
0.1052631503287442,-1.0485306818398697e-08,-1.0936134923516241e-08
0.0979131084448124,-1.0402435554024957e-08,-1.0849108045466811e-08
0.0906120202174259,-1.0320483785021681e-08,-1.0763048060873206e-08
0.083359429251238,-1.0239420902655065e-08,-1.0677939299037705e-08
0.0761550137446774,-1.0159231274918864e-08,-1.0593778655495816e-08
0.068998600084486,-1.0079915560013e-08,-1.0510531514367345e-08
0.0618897701563901,-1.0001447876393328e-08,-1.0428188457910018e-08
0.0548281605578871,-9.923808497365824e-09,-1.0346733890083872e-08
0.0478134900992071,-9.846986762181173e-09,-1.0266152621771306e-08
0.0408455716867239,-9.770982269595224e-09,-1.0186431885848882e-08
0.0339239374095729,-9.695764365407124e-09,-1.010754491865448e-08
0.0270482801516336,-9.621319923637561e-09,-1.0029491214367472e-08
0.0202184029215709,-9.547647738980593e-09,-9.952253745373684e-09
0.0134339694824966,-9.474731697829956e-09,-9.875814343915962e-09
0.006694601518835,-9.402551289542418e-09,-9.800161304111784e-09
0.0,-9.33109460400889e-09,-9.725278090746993e-09
